"Model","Location_State"
"BMW 528i","Selangor"
"Honda Civic","Kuala Lumpur"
"BMW 328i","Kuala Lumpur"
"Toyota Corolla Altis","Kuala Lumpur"
"Honda Accord","Kuala Lumpur"
"BMW 520i","Penang"
"BMW 520i","Penang"
"Toyota Harrier","Penang"
"BMW X1","Penang"
"BMW X4","Penang"
"Honda HR-V","Penang"
"Toyota Vellfire","Selangor"
"Toyota Alphard","Selangor"
"Perodua Myvi","Penang"
"Honda CR-V","Johor"
"Honda CR-V","Penang"
"Honda City","Johor"
"Honda City","Penang"
"Toyota Harrier","Kuala Lumpur"
"BMW 328i","Selangor"
"Volvo XC60","Selangor"
"Toyota Alphard","Johor"
"Honda HR-V","Kuala Lumpur"
"Mazda CX-5","Kuala Lumpur"
"BMW X1","Kuala Lumpur"
"Ford Ranger","Kuala Lumpur"
"Toyota Alphard","Selangor"
"Toyota Alphard","Selangor"
"Nissan X-Trail","Selangor"
"Toyota Harrier","Kuala Lumpur"
"Toyota Harrier","Kuala Lumpur"
"Toyota Vellfire","Kuala Lumpur"
"Toyota Vellfire","Kuala Lumpur"
"Toyota Alphard","Kuala Lumpur"
"Toyota Alphard","Kuala Lumpur"
"Toyota Alphard","Kuala Lumpur"
"Toyota Alphard","Kuala Lumpur"
"Toyota Alphard","Kuala Lumpur"
"Toyota Alphard","Kuala Lumpur"
"Toyota Vellfire","Kuala Lumpur"
"Toyota Alphard","Penang"
"BMW 528i","Penang"
"BMW X1","Selangor"
"Mercedes-Benz C200K","Selangor"
"Mercedes-Benz C200","Kuala Lumpur"
"Porsche Macan","Kuala Lumpur"
"Ford MUSTANG","Kuala Lumpur"
"Porsche Cayman","Kuala Lumpur"
"Land Rover Range Rover Sport","Kuala Lumpur"
"Porsche Macan","Kuala Lumpur"
"Toyota Harrier","Kuala Lumpur"
"Perodua Myvi","Selangor"
"Honda Jazz","Selangor"
"Honda Civic","Selangor"
"Toyota Camry","Selangor"
"Mazda CX-3","Kuala Lumpur"
"Suzuki Jimny","Kuala Lumpur"
"Mercedes-Benz E250","Johor"
"Mercedes-Benz E200","Johor"
"Mercedes-Benz CLA200","Johor"
"Honda CR-V","Kuala Lumpur"
"BMW 330e","Kuala Lumpur"
"Porsche Macan","Selangor"
"BMW 330e","Penang"
"Mercedes-Benz C180","Penang"
"BMW X3","Penang"
"MINI Countryman","Penang"
"Lexus RX200t","Penang"
"BMW 330e","Penang"
"MINI Clubman","Selangor"
"Mercedes-Benz CLA180","Johor"
"Mercedes-Benz E200","Johor"
"Mazda 6","Kuala Lumpur"
"Mitsubishi Triton","Kuala Lumpur"
"Hyundai Grand Starex","Kuala Lumpur"
"Toyota Vellfire","Johor"
"Toyota Alphard","Johor"
"Mercedes-Benz CLA200","Selangor"
"Honda CR-V","Penang"
"Mercedes-Benz G350","Selangor"
"Toyota Hilux","Selangor"
"BMW 330e","Kuala Lumpur"
"Nissan X-Trail","Kuala Lumpur"
"Toyota Camry","Kuala Lumpur"
"Kia Cerato","Kuala Lumpur"
"Mazda 6","Kuala Lumpur"
"Honda City","Kuala Lumpur"
"BMW 328i","Selangor"
"BMW X6","Selangor"
"Honda Accord","Kuala Lumpur"
"Mazda 6","Kuala Lumpur"
"Toyota Harrier","Selangor"
"Mazda 6","Kuala Lumpur"
"Volkswagen Tiguan","Kuala Lumpur"
"Mercedes-Benz CLA250","Kuala Lumpur"
"Mercedes-Benz C180","Penang"
"BMW 330e","Penang"
"Mercedes-Benz E250","Penang"
"BMW X1","Penang"
"Toyota Alphard","Johor"
"Toyota Alphard","Johor"
"Toyota Land Cruiser","Kuala Lumpur"
"Toyota Harrier","Kuala Lumpur"
"Toyota Vellfire","Kuala Lumpur"
"Toyota Vellfire","Kuala Lumpur"
"Mazda CX-5","Selangor"
"BMW X3","Selangor"
"Mercedes-Benz A180","Selangor"
"Mitsubishi Triton","Penang"
"Mercedes-Benz GLA200","Selangor"
"Mercedes-Benz C180","Selangor"
"Nissan X-Trail","Selangor"
"Kia Rio","Kuala Lumpur"
"BMW 528i","Penang"
"Mercedes-Benz C43 AMG","Kuala Lumpur"
"BMW 428i","Kuala Lumpur"
"Mazda CX-5","Kuala Lumpur"
"Mercedes-Benz A200","Kuala Lumpur"
"BMW 330e","Kuala Lumpur"
"Toyota Innova","Kuala Lumpur"
"BMW 330e","Kuala Lumpur"
"Mercedes-Benz C350 e","Kuala Lumpur"
"Hyundai Grand Starex","Kuala Lumpur"
"Toyota Camry","Kuala Lumpur"
"BMW 520i","Selangor"
"Honda City","Kuala Lumpur"
"Honda Civic","Penang"
"Honda HR-V","Selangor"
"Mazda CX-5","Selangor"
"Honda CR-V","Selangor"
"Mercedes-Benz GLA200","Selangor"
"Mercedes-Benz CLA250","Selangor"
"Mercedes-Benz C300","Selangor"
"Audi Q5","Kuala Lumpur"
"Mercedes-Benz C300","Kuala Lumpur"
"Mitsubishi Triton","Kuala Lumpur"
"Peugeot 3008","Kuala Lumpur"
"MINI Countryman","Kuala Lumpur"
"Toyota Rush","Kuala Lumpur"
"Audi A4","Kuala Lumpur"
"Toyota Prius C","Penang"
"BMW 530i","Penang"
"BMW 318i","Penang"
"BMW X3","Penang"
"Mercedes-Benz B200","Penang"
"Honda HR-V","Selangor"
"Toyota Vios","Penang"
"BMW 528i","Penang"
"Audi A4","Kuala Lumpur"
"Mercedes-Benz E200","Johor"
"Mercedes-Benz C350 e","Selangor"
"Mercedes-Benz CLA180","Selangor"
"BMW 330e","Penang"
"Mercedes-Benz CLA200","Penang"
"Mazda CX-5","Penang"
"BMW 530i","Penang"
"Honda Accord","Penang"
"BMW X3","Penang"
"BMW 330i","Penang"
"BMW 520i","Penang"
"Mercedes-Benz C250","Kuala Lumpur"
"Toyota Vios","Penang"
"Kia Cerato","Kuala Lumpur"
"Nissan Navara","Kuala Lumpur"
"Nissan Serena","Kuala Lumpur"
"Nissan Teana","Selangor"
"BMW X6","Kuala Lumpur"
"Toyota Harrier","Kuala Lumpur"
"Audi Q7","Kuala Lumpur"
"Audi Q7","Kuala Lumpur"
"Honda Accord","Penang"
"Honda Civic","Selangor"
"Volkswagen Passat","Selangor"
"Toyota Harrier","Selangor"
"BMW X3","Penang"
"BMW 318i","Penang"
"Mazda CX-3","Kuala Lumpur"
"Volvo XC90","Selangor"
"MINI Countryman","Penang"
"Honda Jazz","Penang"
"Honda Civic","Penang"
"Perodua AXIA","Penang"
"MINI 3 Door","Penang"
"Honda HR-V","Penang"
"Honda Jazz","Penang"
"Toyota Corolla Altis","Penang"
"Proton Iriz","Penang"
"Toyota Vios","Penang"
"BMW X3","Penang"
"Honda Accord","Penang"
"Honda HR-V","Penang"
"Toyota Hilux","Penang"
"Peugeot 408","Selangor"
"Honda Civic","Kuala Lumpur"
"Nissan Serena","Selangor"
"Mercedes-Benz E250","Selangor"
"BMW X1","Selangor"
"Nissan Grand Livina","Selangor"
"BMW 320i","Selangor"
"Volvo S60","Kuala Lumpur"
"Mercedes-Benz A45 AMG","Kuala Lumpur"
"Mercedes-Benz A250","Kuala Lumpur"
"Mercedes-Benz C200","Kuala Lumpur"
"Honda City","Penang"
"Ford Ranger","Selangor"
"Toyota Vellfire","Selangor"
"Mitsubishi Triton","Selangor"
"Volkswagen Golf","Selangor"
"Mazda CX-5","Penang"
"Subaru Forester","Selangor"
"Subaru XV","Penang"
"Honda CR-V","Penang"
"Honda CR-V","Penang"
"Perodua Myvi","Penang"
"Mercedes-Benz GLA250","Penang"
"Kia Cerato","Kuala Lumpur"
"BMW X5","Johor"
"Mercedes-Benz GLA200","Penang"
"Peugeot 5008","Kuala Lumpur"
"Nissan Serena","Kuala Lumpur"
"BMW X5","Kuala Lumpur"
"Kia Cerato","Kuala Lumpur"
"Volkswagen Jetta","Kuala Lumpur"
"Mercedes-Benz C350 e","Penang"
"Peugeot 3008","Selangor"
"Kia Rio","Selangor"
"Subaru XV","Kuala Lumpur"
"Mazda 6","Selangor"
"Mazda 6","Selangor"
"Mitsubishi ASX","Selangor"
"Mazda 6","Selangor"
"Honda Civic","Penang"
"Perodua AXIA","Selangor"
"Toyota Hilux","Selangor"
"Honda City","Selangor"
"Proton Saga","Selangor"
"Perodua Alza","Penang"
"Mazda 6","Selangor"
"Toyota Vellfire","Johor"
"Land Rover Range Rover Evoque","Johor"
"BMW 520i","Johor"
"BMW 530i","Selangor"
"Subaru XV","Kuala Lumpur"
"Toyota Vellfire","Selangor"
"Toyota Vellfire","Selangor"
"Mercedes-Benz C200","Selangor"
"Honda Civic","Kuala Lumpur"
"Honda HR-V","Penang"
"Volkswagen Jetta","Penang"
"Mazda 2","Penang"
"Mazda CX-5","Penang"
"Perodua Bezza","Penang"
"Nissan Sylphy","Penang"
"Honda CR-V","Penang"
"Proton X70","Penang"
"Mazda CX-3","Selangor"
"MINI 3 Door","Selangor"
"Honda Jazz","Selangor"
"Honda Civic","Selangor"
"Nissan Almera","Selangor"
"Lexus IS250","Selangor"
"Perodua Alza","Selangor"
"Proton Preve","Selangor"
"Honda Accord","Selangor"
"Honda City","Selangor"
"Proton Saga","Selangor"
"BMW X1","Johor"
"BMW 530i","Johor"
"Volkswagen Tiguan","Johor"
"Toyota Alphard","Kuala Lumpur"
"Kia Cerato","Kuala Lumpur"
"Mazda 6","Kuala Lumpur"
"Volkswagen Beetle","Kuala Lumpur"
"Volkswagen Beetle","Kuala Lumpur"
"Mercedes-Benz C200","Selangor"
"Haval H2","Selangor"
"Land Rover Range Rover Sport","Kuala Lumpur"
"Mercedes-Benz GLA200","Kuala Lumpur"
"Lexus RX200t","Selangor"
"Ford MUSTANG","Kuala Lumpur"
"Toyota Vellfire","Selangor"
"Toyota Camry","Kuala Lumpur"
"Volkswagen Tiguan","Kuala Lumpur"
"Kia Cerato","Kuala Lumpur"
"Mercedes-Benz A250","Kuala Lumpur"
"Toyota Alphard","Kuala Lumpur"
"Perodua Myvi","Kuala Lumpur"
"Mercedes-Benz A250","Selangor"
"Mazda 2","Penang"
"Proton Perdana","Penang"
"Volkswagen Jetta","Penang"
"MINI Clubman","Selangor"
"Mercedes-Benz C350 e","Kuala Lumpur"
"Audi Q3","Selangor"
"Mercedes-Benz A45 AMG","Selangor"
"Proton Saga","Selangor"
"Proton Saga","Selangor"
"Honda City","Selangor"
"Perodua Myvi","Selangor"
"Honda Accord","Penang"
"Toyota Vios","Selangor"
"Land Rover Range Rover Sport","Selangor"
"Kia Sportage","Selangor"
"Kia Optima K5","Selangor"
"Hyundai Tucson","Selangor"
"Volkswagen Golf","Selangor"
"BMW 320i","Johor"
"Honda Civic","Johor"
"Honda Civic","Johor"
"Mercedes-Benz A200","Johor"
"Proton Perdana","Kuala Lumpur"
"Mitsubishi Triton","Kuala Lumpur"
"Honda Accord","Kuala Lumpur"
"Volkswagen Passat","Kuala Lumpur"
"Mercedes-Benz C200","Kuala Lumpur"
"Honda City","Kuala Lumpur"
"Peugeot 208","Penang"
"BMW X1","Penang"
"Honda Jazz","Penang"
"MINI Countryman","Penang"
"Audi Q5","Selangor"
"Toyota Harrier","Kuala Lumpur"
"Mitsubishi ASX","Selangor"
"Mercedes-Benz E300","Johor"
"Hyundai Sonata","Selangor"
"Proton X70","Selangor"
"Isuzu D-Max","Selangor"
"Audi Q7","Kuala Lumpur"
"Mazda 3","Penang"
"Honda HR-V","Penang"
"Mercedes-Benz CLA200","Penang"
"Toyota Vios","Penang"
"Honda City","Penang"
"Mazda CX-5","Selangor"
"Toyota Harrier","Selangor"
"BMW 330e","Penang"
"Honda Jazz","Penang"
"Honda Jazz","Selangor"
"Toyota Vios","Selangor"
"Nissan X-Trail","Selangor"
"Mercedes-Benz E250","Penang"
"Toyota Alphard","Penang"
"Honda Civic","Penang"
"BMW X5","Johor"
"Peugeot 3008","Kuala Lumpur"
"BMW 320i","Penang"
"Mazda CX-3","Johor"
"BMW 330e","Johor"
"Nissan Navara","Kuala Lumpur"
"BMW X6","Kuala Lumpur"
"BMW 530e","Johor"
"Mitsubishi Triton","Kuala Lumpur"
"BMW 328i","Kuala Lumpur"
"Honda City","Kuala Lumpur"
"Mitsubishi Triton","Penang"
"Honda City","Kuala Lumpur"
"Honda City","Selangor"
"Mazda CX-5","Selangor"
"Mazda 6","Melaka"
"Porsche Macan","Selangor"
"Mercedes-Benz C180","Penang"
"Toyota Harrier","Selangor"
"Lexus ES250","Selangor"
"Nissan Navara","Selangor"
"Nissan Navara","Selangor"
"Toyota Vellfire","Penang"
"Lexus RX350","Selangor"
"Mazda CX-5","Selangor"
"Nissan Serena","Kuala Lumpur"
"Audi A3","Johor"
"Toyota Alphard","Kuala Lumpur"
"Mazda 6","Kuala Lumpur"
"Mazda 6","Johor"
"Toyota Sienta","Selangor"
"Honda City","Selangor"
"Audi A3","Selangor"
"Ford Ranger","Selangor"
"Ford Ranger","Selangor"
"Peugeot 3008","Selangor"
"Toyota Harrier","Selangor"
"Nissan Navara","Selangor"
"Honda Accord","Penang"
"Mercedes-Benz E200","Penang"
"Audi A6","Selangor"
"BMW 320i","Selangor"
"Nissan Serena","Selangor"
"Honda HR-V","Kuala Lumpur"
"Mercedes-Benz A200","Selangor"
"Audi A7","Perak"
"Toyota Vellfire","Selangor"
"Kia Sportage","Penang"
"Perodua AXIA","Penang"
"Honda City","Penang"
"Perodua Myvi","Penang"
"BMW X1","Penang"
"Toyota Alphard","Selangor"
"Toyota Rush","Kuala Lumpur"
"Honda Civic","Kuala Lumpur"
"Mazda CX-5","Selangor"
"Toyota Hilux","Kuala Lumpur"
"Volkswagen Tiguan","Kuala Lumpur"
"Proton Iriz","Kuala Lumpur"
"Perodua AXIA","Kuala Lumpur"
"Toyota Fortuner","Selangor"
"Nissan Serena","Kuala Lumpur"
"Toyota Vellfire","Kuala Lumpur"
"Land Rover Range Rover Sport","Kuala Lumpur"
"Isuzu D-Max","Penang"
"Volkswagen Beetle","Penang"
"Honda Accord","Johor"
"Nissan Teana","Penang"
"Mercedes-Benz C200","Johor"
"Toyota Harrier","Selangor"
"Mercedes-Benz C200","Penang"
"Honda HR-V","Penang"
"Land Rover Range Rover Evoque","Penang"
"BMW X4","Selangor"
"Perodua Alza","Penang"
"Perodua Myvi","Penang"
"Honda Accord","Penang"
"Ford MUSTANG","Selangor"
"Mercedes-Benz C200","Johor"
"Suzuki Grand Vitara","Kuala Lumpur"
"Toyota Sienta","Penang"
"Lexus CT200h","Kuala Lumpur"
"Perodua Myvi","Penang"
"Lexus NX200t","Penang"
"Kia Rio","Penang"
"Honda HR-V","Penang"
"BMW 330i","Selangor"
"Mitsubishi Triton","Selangor"
"Lexus RX350","Selangor"
"Volvo XC60","Selangor"
"Mazda CX-5","Selangor"
"BMW X3","Kuala Lumpur"
"Honda City","Selangor"
