"Model","Location_State"
"Perodua Myvi","Kuala Lumpur"
"BMW 318i","Kuala Lumpur"
"Peugeot 2008","Kuala Lumpur"
"Mazda CX-5","Kuala Lumpur"
"Mercedes-Benz E250","Kuala Lumpur"
"Mercedes-Benz C200","Kuala Lumpur"
"Perodua AXIA","Selangor"
"Proton Saga","Selangor"
"Proton Inspira","Kuala Lumpur"
"Honda CR-V","Selangor"
"Toyota Vellfire","Kuala Lumpur"
"Hyundai Sonata","Kuala Lumpur"
"Mercedes-Benz E300","Selangor"
"Perodua Alza","Selangor"
"BMW 528i","Johor"
"Kia Cerato","Johor"
"Honda CR-V","Johor"
"Honda CR-V","Johor"
"BMW 330e","Johor"
"Volkswagen Passat","Johor"
"Hyundai Tucson","Johor"
"Subaru Forester","Johor"
"Mercedes-Benz A250","Selangor"
"Proton X70","Kuala Lumpur"
"Isuzu D-Max","Kuala Lumpur"
"Kia Sportage","Kuala Lumpur"
"BMW 320i","Selangor"
"Mercedes-Benz E300","Johor"
"Toyota Innova","Johor"
"Volkswagen Beetle","Perak"
"Honda HR-V","Kuala Lumpur"
"BMW X3","Kuala Lumpur"
"Isuzu D-Max","Selangor"
"Mazda CX-3","Selangor"
"Honda City","Selangor"
"Mazda 3","Selangor"
"MINI 3 Door","Johor"
"Mazda CX-5","Kuala Lumpur"
"Perodua Alza","Selangor"
"Honda CR-V","Selangor"
"Proton X70","Penang"
"Volkswagen Jetta","Selangor"
"Toyota Vellfire","Selangor"
"Mercedes-Benz E250","Penang"
"Toyota Vellfire","Penang"
"Mercedes-Benz CLA250","Penang"
"Isuzu D-Max","Selangor"
"Volkswagen Golf","Selangor"
"Kia Cerato","Johor"
"Ford Ranger","Penang"
"Ford Ranger","Penang"
"Mazda BT-50","Selangor"
"Nissan Navara","Selangor"
"Nissan Serena","Selangor"
"Mazda CX-5","Selangor"
"Mercedes-Benz E300","Kuala Lumpur"
"BMW 520i","Johor"
"Honda Civic","Kuala Lumpur"
"Mazda Biante","Selangor"
"Audi A5","Selangor"
"Toyota Corolla Altis","Kedah"
"Honda HR-V","Kedah"
"Kia Rio","Selangor"
"Perodua AXIA","Selangor"
"Honda CR-V","Selangor"
"Honda City","Kuala Lumpur"
"Honda HR-V","Penang"
"Honda CR-V","Selangor"
"Mazda CX-3","Johor"
"Subaru XV","Johor"
"BMW 318i","Johor"
"Subaru XV","Johor"
"Ford Ranger","Kuala Lumpur"
"Peugeot 208","Selangor"
"Toyota Vellfire","Selangor"
"Toyota Corolla Altis","Kuala Lumpur"
"Honda Accord","Kuala Lumpur"
"Honda Accord","Selangor"
"Nissan Navara","Kuala Lumpur"
"Kia Cerato","Selangor"
"Mitsubishi ASX","Selangor"
"MINI 3 Door","Selangor"
"Honda HR-V","Selangor"
"Ford MUSTANG","Kuala Lumpur"
"Peugeot 508","Johor"
"Toyota Alphard","Kuala Lumpur"
"Toyota Alphard","Kuala Lumpur"
"Subaru XV","Kuala Lumpur"
"Kia Cerato","Kuala Lumpur"
"Honda Jazz","Selangor"
"Mazda CX-5","Selangor"
"Kia Carnival","Penang"
"Toyota Innova","Kuala Lumpur"
"Mercedes-Benz C200","Selangor"
"Lexus ES250","Selangor"
"Toyota Harrier","Johor"
"Mercedes-Benz E200","Johor"
"Honda City","Johor"
"Hyundai Tucson","Johor"
"Honda Accord","Johor"
"Perodua Aruz","Johor"
"Nissan Navara","Johor"
"Honda BR-V","Johor"
"Volkswagen Beetle","Selangor"
"Toyota Vellfire","Selangor"
"BMW 520i","Penang"
"Land Rover Range Rover Sport","Kuala Lumpur"
"Nissan Almera","Johor"
"Volkswagen Beetle","Johor"
"Mazda CX-5","Johor"
"Toyota Alphard","Kuala Lumpur"
"Honda CR-V","Selangor"
"Toyota Vellfire","Selangor"
"Mazda CX-5","Selangor"
"Honda Civic","Johor"
"Mercedes-Benz C200","Johor"
"Honda Civic","Penang"
"Honda Jazz","Selangor"
"Perodua Myvi","Johor"
"Honda Odyssey","Selangor"
"Mazda CX-5","Selangor"
"Toyota Camry","Johor"
"Volkswagen Passat","Johor"
"Lexus NX300","Kuala Lumpur"
"Honda CR-V","Selangor"
"Mazda CX-5","Selangor"
"Volkswagen Beetle","Johor"
"Volkswagen Beetle","Johor"
"Volkswagen Golf","Penang"
"Nissan Teana","Selangor"
"Toyota Vios","Selangor"
"Perodua AXIA","Selangor"
"BMW 118i","Selangor"
"Honda BR-V","Kuala Lumpur"
"Honda CR-V","Selangor"
"Mazda CX-5","Selangor"
"Honda Jazz","Selangor"
"Volkswagen Golf","Perak"
"Perodua Alza","Kuala Lumpur"
"Volkswagen Beetle","Penang"
"Nissan X-Trail","Kuala Lumpur"
"Toyota Corolla Altis","Selangor"
"Lexus NX300","Kuala Lumpur"
"Mitsubishi Outlander","Johor"
"Nissan Grand Livina","Johor"
"Proton X70","Johor"
"Honda CR-V","Selangor"
"Perodua Myvi","Selangor"
"Peugeot 2008","Kuala Lumpur"
"Kia Sorento","Johor"
"Toyota Hilux","Selangor"
"Mercedes-Benz A250","Selangor"
"Porsche 718","Kuala Lumpur"
"BMW X1","Selangor"
"Perodua Bezza","Kuala Lumpur"
"Porsche Macan","Kuala Lumpur"
"Toyota Land Cruiser Prado","Selangor"
"Subaru Forester","Johor"
"Isuzu D-Max","Selangor"
"Mercedes-Benz GLA250","Kuala Lumpur"
"Mercedes-Benz GLC300","Selangor"
"Volkswagen Polo","Selangor"
"Volkswagen Jetta","Johor"
"Audi A3","Johor"
"Volvo V40","Johor"
"Honda HR-V","Selangor"
"Toyota Vellfire","Selangor"
"Porsche 718","Selangor"
"Perodua AXIA","Selangor"
"Mazda CX-5","Kuala Lumpur"
"Kia Sportage","Kuala Lumpur"
"BMW 730Li","Kuala Lumpur"
"Honda City","Selangor"
"Honda Jazz","Selangor"
"Lexus RX200t","Kuala Lumpur"
"Mercedes-Benz E250","Selangor"
"Mercedes-Benz A250","Selangor"
"Mazda 2","Selangor"
"Honda City","Selangor"
"Toyota Vios","Selangor"
"Honda City","Selangor"
"Toyota Vios","Selangor"
"Toyota Land Cruiser","Selangor"
"Honda City","Johor"
"Subaru XV","Kuala Lumpur"
"MINI Countryman","Selangor"
"Perodua Myvi","Penang"
"Subaru XV","Johor"
"Hyundai Elantra","Selangor"
"Nissan X-Trail","Selangor"
"Toyota Harrier","Kuala Lumpur"
"Honda CR-V","Selangor"
"Mercedes-Benz C250","Penang"
"Hyundai Ioniq","Johor"
"Ford MUSTANG","Penang"
"BMW 520i","Penang"
"Perodua Myvi","Selangor"
"Mercedes-Benz CLA200","Kuala Lumpur"
"Honda Accord","Selangor"
"BMW 520i","Johor"
"Land Rover Range Rover Evoque","Selangor"
"Toyota Harrier","Selangor"
"Honda Civic","Selangor"
"Nissan Almera","Penang"
"Perodua Alza","Penang"
"Toyota Vios","Selangor"
"Mitsubishi Triton","Selangor"
"Ford Ranger","Kuala Lumpur"
"Toyota Harrier","Kuala Lumpur"
"Honda Jazz","Johor"
"Honda CR-V","Selangor"
"Mercedes-Benz GLA250","Selangor"
"Ford MUSTANG","Selangor"
"Toyota Vios","Selangor"
"Ford Ranger","Selangor"
"Hyundai Sonata","Kuala Lumpur"
"Porsche Boxster","Penang"
"Proton Iriz","Kuala Lumpur"
"BMW 428i","Selangor"
"Honda HR-V","Selangor"
"BMW X1","Kuala Lumpur"
"Perodua Myvi","Selangor"
"BMW X3","Selangor"
"Volkswagen Beetle","Selangor"
"Toyota Estima","Johor"
"BMW 320i","Selangor"
"Mercedes-Benz C200","Selangor"
"Toyota Estima","Johor"
"Toyota Estima","Kuala Lumpur"
"Toyota Alphard","Selangor"
"Perodua Myvi","Selangor"
"Isuzu D-Max","Selangor"
"Honda Civic","Selangor"
"Proton X70","Selangor"
"Perodua AXIA","Selangor"
"Perodua Myvi","Selangor"
"Mercedes-Benz GLA250","Selangor"
"Honda Jazz","Selangor"
"Mercedes-Benz GLA200","Selangor"
"Honda Jazz","Kuala Lumpur"
"Nissan Navara","Kuala Lumpur"
"Mercedes-Benz GLC250","Selangor"
"Porsche Macan","Kuala Lumpur"
"Perodua Myvi","Selangor"
"Mercedes-Benz A250","Penang"
"Toyota Alphard","Kuala Lumpur"
"Mazda CX-5","Selangor"
"Ford MUSTANG","Kuala Lumpur"
"Isuzu D-Max","Selangor"
"Volkswagen Jetta","Johor"
"Volkswagen Beetle","Johor"
"Toyota Alphard","Johor"
"Nissan Navara","Kuala Lumpur"
"Honda CR-V","Selangor"
"Toyota Harrier","Selangor"
"Toyota Vellfire","Kuala Lumpur"
"Toyota FJ Cruiser","Selangor"
"Subaru XV","Kuala Lumpur"
"Lexus NX300","Selangor"
"Toyota Alphard","Selangor"
"Volkswagen Vento","Penang"
"MINI Countryman","Kuala Lumpur"
"Toyota Vellfire","Selangor"
"Toyota Land Cruiser Prado","Selangor"
"Ford MUSTANG","Kuala Lumpur"
"Volkswagen Tiguan","Johor"
"Toyota Alphard","Kuala Lumpur"
"Peugeot 308","Penang"
"Honda City","Kuala Lumpur"
"Honda CR-V","Selangor"
"BMW 528i","Selangor"
"Proton Exora","Selangor"
"Ford MUSTANG","Kuala Lumpur"
"Proton Perdana","Selangor"
"Perodua Myvi","Selangor"
"Audi A3","Selangor"
"Mercedes-Benz A180","Kuala Lumpur"
"BMW 528i","Penang"
"Toyota Vellfire","Kuala Lumpur"
"Toyota Alphard","Kuala Lumpur"
"Mercedes-Benz C250","Penang"
"Isuzu D-Max","Selangor"
"Toyota Land Cruiser","Kuala Lumpur"
"Mitsubishi Triton","Selangor"
"Toyota Vellfire","Selangor"
"Hyundai Grand Starex","Johor"
"Hyundai Grand Starex","Johor"
"BMW X5","Kuala Lumpur"
"Volkswagen Jetta","Johor"
"Volkswagen Polo","Selangor"
"Mazda 8","Johor"
"BMW 316i","Johor"
"Hyundai Ioniq","Johor"
"Volkswagen Jetta","Johor"
"Hyundai Elantra","Johor"
"Volkswagen Tiguan","Johor"
"Peugeot 2008","Johor"
"Volkswagen Passat","Johor"
"Volkswagen Vento","Johor"
"Peugeot 3008","Johor"
"Toyota Camry","Johor"
"Mitsubishi Triton","Johor"
"Honda City","Johor"
"Honda City","Johor"
"Mitsubishi Triton","Johor"
"Peugeot 3008","Johor"
"Honda Civic","Johor"
"Honda City","Johor"
"Proton Preve","Johor"
"Honda CR-V","Selangor"
"Honda CR-V","Selangor"
"Volkswagen Jetta","Johor"
"Volkswagen Jetta","Johor"
"Mazda 3","Johor"
"Mazda Biante","Johor"
"Mazda 6","Johor"
"Volkswagen Vento","Johor"
"Peugeot 3008","Johor"
"Hyundai Grand Starex","Johor"
"Toyota Camry","Penang"
"Honda BR-V","Johor"
"Mazda 3","Johor"
"Mazda CX-5","Johor"
"Mercedes-Benz E250","Johor"
"Honda City","Johor"
"Honda BR-V","Johor"
"Toyota Alphard","Selangor"
"Lexus NX300","Selangor"
"BMW X1","Johor"
"Ford Ranger","Johor"
"Toyota Corolla Altis","Johor"
"Audi A3","Johor"
"Hyundai Grand Starex","Johor"
"Toyota Camry","Johor"
"Toyota Vios","Johor"
"Mazda 6","Johor"
"Mazda 3","Johor"
"Volkswagen Jetta","Johor"
"Hyundai Grand Starex","Johor"
"Mercedes-Benz C200","Johor"
"Nissan X-Trail","Selangor"
"Honda Civic","Kuala Lumpur"
"Proton X70","Johor"
"Honda City","Johor"
"Nissan Sylphy","Johor"
"Honda Civic","Selangor"
"Honda City","Johor"
"Perodua Alza","Johor"
"Honda CR-V","Johor"
"Mazda CX-5","Johor"
"Hyundai Sonata","Johor"
"Mazda CX-5","Johor"
"Mazda CX-5","Johor"
"Proton Exora","Johor"
"BMW X1","Johor"
"Proton Saga","Johor"
"Proton Iriz","Johor"
"Toyota Camry","Johor"
"Nissan Serena","Johor"
"Perodua Myvi","Selangor"
"Volkswagen Tiguan","Selangor"
"Mazda CX-5","Selangor"
"Volvo XC60","Selangor"
"Ford Kuga","Selangor"
"Volvo V40","Selangor"
"Audi Q3","Selangor"
"Proton Exora","Johor"
"Kia Sorento","Johor"
"Honda BR-V","Johor"
"Mazda CX-5","Johor"
"Proton Iriz","Johor"
"Volkswagen Passat","Johor"
"Proton X70","Johor"
"Proton Ertiga","Johor"
"Nissan Navara","Johor"
"Proton Perdana","Johor"
"Audi A3","Johor"
"Nissan Teana","Johor"
"Hyundai Elantra","Selangor"
"Haval H1","Selangor"
"Proton Preve","Johor"
"Mazda 3","Johor"
"Honda Accord","Johor"
"Volvo V40","Johor"
"Hyundai Grand Starex","Johor"
"Kia Sportage","Johor"
"Peugeot 508","Johor"
"Peugeot 508","Johor"
"Honda CR-V","Johor"
"Kia Cerato","Johor"
"Nissan X-Trail","Johor"
"Mazda 6","Johor"
"Honda BR-V","Johor"
"Toyota Vios","Selangor"
"Mazda CX-5","Johor"
"Proton Perdana","Johor"
"Toyota Camry","Johor"
"Volkswagen Passat","Johor"
"Hyundai Elantra","Johor"
"Perodua Bezza","Johor"
"Toyota Alphard","Selangor"
"Mazda 6","Selangor"
"Mazda Biante","Johor"
"Peugeot 208","Johor"
"Honda Accord","Johor"
"Mazda CX-5","Selangor"
"Toyota Vellfire","Kuala Lumpur"
"Volkswagen Passat","Johor"
"Porsche 718","Johor"
"Mercedes-Benz E200","Johor"
"Honda Civic","Kuala Lumpur"
"Honda BR-V","Johor"
"Honda BR-V","Johor"
"Perodua Aruz","Johor"
"Volkswagen Cross Touran","Johor"
"Ford Fiesta","Selangor"
"Honda Jazz","Selangor"
"Toyota Fortuner","Selangor"
"Kia Picanto","Johor"
"Ford Focus","Johor"
"Mazda 3","Johor"
"Mercedes-Benz A200","Selangor"
"Perodua Alza","Johor"
"Mercedes-Benz A45 AMG","Selangor"
"Honda Accord","Johor"
"Hyundai Grand Starex","Johor"
"Kia Sorento","Kuala Lumpur"
"Ford EcoSport","Kuala Lumpur"
"Honda HR-V","Selangor"
"Audi A4","Kuala Lumpur"
"Proton Perdana","Selangor"
"Mercedes-Benz CLA200","Kuala Lumpur"
"Toyota Vios","Johor"
"Perodua Myvi","Selangor"
"Proton Persona","Selangor"
"BMW 530i","Johor"
"BMW 328i","Kuala Lumpur"
"Volkswagen Golf","Kuala Lumpur"
"BMW 328i","Selangor"
"Ssangyong Stavic","Selangor"
"Mercedes-Benz B200","Selangor"
"Mazda 3","Kedah"
"Honda HR-V","Kedah"
"Honda Civic","Kedah"
"Mazda CX-5","Kedah"
"Toyota Vios","Kedah"
"Mazda 2","Kedah"
"Land Rover Range Rover Evoque","Kuala Lumpur"
"Subaru XV","Kuala Lumpur"
"MINI Countryman","Kuala Lumpur"
"Isuzu D-Max","Selangor"
"Mazda CX-5","Penang"
